logFC	AveExpr	t	P.Value	adj.P.Val	B	Symbol	
16785083	-1.260186708	6.487799774	-8.134094363	1.02E-11	1.82E-07	15.82471989	NA
17075392	-1.111817092	4.573295182	-8.031390464	1.57E-11	1.82E-07	15.4316091	LOC286058
17072601	-0.847801392	8.661517	-7.298086751	3.52E-10	2.71E-06	12.6218518	TRIB1
16706423	1.409813067	7.870889865	7.136089826	6.96E-10	4.03E-06	12.00227488	NA
17084415	-1.044045778	5.87562072	-6.927496655	1.67E-09	7.74E-06	11.20628595	NA
16706422	1.360251591	7.798074794	6.515426021	9.34E-09	2.96E-05	9.642939663	NA
16740338	-1.1584996	6.164936534	-6.513448801	9.42E-09	2.96E-05	9.635475993	NA
16740332	-1.344262874	6.641366136	-6.48994798	1.04E-08	2.96E-05	9.546796518	NA
16843158	-0.849543658	5.697309283	-6.440431676	1.27E-08	2.96E-05	9.360147461	NA
16676983	-1.216878983	7.493524074	-6.439761225	1.28E-08	2.96E-05	9.357622126	G0S2
16903897	-0.858110236	6.64716017	-6.325259939	2.05E-08	4.31E-05	8.927122467	NR4A2
16711125	-0.557812761	8.242918349	-6.253544914	2.76E-08	5.31E-05	8.658329342	IDI1
16999773	-0.809470443	5.920743234	-6.148416191	4.24E-08	7.55E-05	8.265571341	NA
16742840	0.649236443	8.213225243	6.122367287	4.72E-08	7.80E-05	8.168500657	LOC100506282
16881017	-0.574899658	4.918365858	-6.032343207	6.82E-08	0.000102717	7.833829913	NA
16740326	-0.52615464	7.604141898	-6.022113432	7.11E-08	0.000102717	7.795881344	FAU
16951079	0.651470463	5.459042628	5.886740697	1.23E-07	0.000167484	7.295358084	LOC102725086
16989256	-0.446749075	6.055302063	-5.744275644	2.19E-07	0.00026672	6.772180068	NA
16664005	-0.45025796	8.157326161	-5.743738226	2.19E-07	0.00026672	6.770213877	PLK3
16972658	0.721373173	3.729100203	5.718508477	2.42E-07	0.000280388	6.677973476	NA
16825537	-0.765414711	4.657410197	-5.691157336	2.71E-07	0.000297976	6.57812231	NA
16959697	-0.704890658	4.62928554	-5.666085624	2.99E-07	0.000314454	6.486727523	NA
16740335	-1.070975109	7.081354023	-5.598213283	3.92E-07	0.000394381	6.239974119	NA
17087395	0.69371556	5.092176242	5.485060441	6.15E-07	0.000592309	5.830852067	NA
16933766	-0.657801436	6.037890224	-5.471245534	6.49E-07	0.000600549	5.781102609	OSM
16952414	-0.798684567	7.620721971	-5.44048613	7.33E-07	0.000641422	5.670495311	CSRNP1
16889406	1.052208664	5.929931417	5.435080831	7.49E-07	0.000641422	5.651081762	NA
17061545	-0.848313018	9.594513754	-5.384323275	9.15E-07	0.000755354	5.46912739	NA
16706421	1.746153604	6.130506346	5.310061561	1.22E-06	0.000975838	5.204069132	NA
16778710	-0.612886002	4.712956145	-5.26701746	1.45E-06	0.001115997	5.051081519	NA
16766578	-0.387404093	7.014152013	-5.214456974	1.78E-06	0.001298664	4.864935419	DDIT3
16708238	1.001154846	6.349479198	5.203169161	1.86E-06	0.001298664	4.825056157	NA
16684140	-0.65162523	7.844760456	-5.201866087	1.87E-06	0.001298664	4.820454702	NA
16766588	-0.550478389	4.226994255	-5.189767491	1.95E-06	0.001298664	4.777753992	NA
16791427	-0.653715772	5.733471236	-5.18648257	1.98E-06	0.001298664	4.766167158	CTSG
16670245	0.371089894	7.339477104	5.181126088	2.02E-06	0.001298664	4.747279734	NA
16887358	1.146188023	4.137622258	5.173046096	2.09E-06	0.001303745	4.718804007	NA
17094172	-0.560226329	5.503704291	-5.123568387	2.53E-06	0.001537022	4.544831794	NA
17075360	0.517105293	6.100169549	5.093053984	2.84E-06	0.001684513	4.437884722	NA
16894153	0.447002609	2.408667822	5.008720464	3.93E-06	0.002269876	4.143728036	NA
16679791	0.64034443	2.965746019	4.986998474	4.27E-06	0.002391456	4.068306075	OR2M3
16997676	0.824631598	7.90301113	4.982286981	4.34E-06	0.002391456	4.051966054	MTRNR2L2
16732032	0.376971042	6.082795591	4.971732355	4.52E-06	0.002431785	4.015386066	NA
16751997	-0.685729047	9.127052219	-4.956993973	4.78E-06	0.002513779	3.964363565	NA
17118142	-0.531129243	6.142981463	-4.947569077	4.96E-06	0.002547687	3.931771008	NA
16795366	0.736933186	6.697975424	4.935756461	5.18E-06	0.0025607	3.890960518	SNORA79
16811670	-0.836415844	4.206623511	-4.934793117	5.20E-06	0.0025607	3.887634261	NA
17020149	-0.894020621	3.829745851	-4.919422406	5.52E-06	0.00263398	3.834601382	NA
