"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16742840"	-1.12541955878172	8.21322524258974	-10.8149908631265	1.34281551832451e-16	3.1055294492291e-12	27.0318291772901	"LOC100506282"
"16808993"	-1.19780931415431	7.07145211370336	-9.70143355596959	1.35019320262371e-14	1.2410696428633e-10	22.6723843498689	NA
"16889406"	-1.83506706474367	5.92993141747512	-9.65942517440483	1.60989705910404e-14	1.2410696428633e-10	22.5055705030387	NA
"16988537"	-1.20156701800658	9.01572422383745	-9.33322325076035	6.33593483466741e-14	3.44847812918706e-10	21.2053932878804	NA
"16951079"	-1.00897330551235	5.45904262778193	-9.2908416983805	7.57401848661901e-14	3.44847812918706e-10	21.0358808779884	"LOC102725086"
"16664005"	0.711664071583591	8.15732616064858	9.25131542297391	8.94662895106255e-14	3.44847812918706e-10	20.8776758224219	"PLK3"
"16676983"	1.68583453654022	7.49352407439221	9.09143691061592	1.75632725998315e-13	5.25766934061109e-10	20.2367020738513	"G0S2"
"16740338"	1.58535755914811	6.16493653357286	9.0831722784401	1.81871209948928e-13	5.25766934061109e-10	20.2035242191993	NA
"16740326"	0.774091040633936	7.60414189780608	9.02864913750809	2.28982488573359e-13	5.88408668137343e-10	19.9845421559263	"FAU"
"16740335"	1.68512589203949	7.08135402291533	8.97630545260299	2.85691337602074e-13	6.60718356472317e-10	19.7741513587575	NA
"16999773"	1.13737913211687	5.92074323432491	8.80364914266142	5.93220312127495e-13	1.24721874168842e-09	19.0791358867083	NA
"16952414"	1.25564439280174	7.62072197058234	8.71614174679491	8.59455549034181e-13	1.56294201807599e-09	18.7263315724404	"CSRNP1"
"17072601"	0.993014866476639	8.66151699972483	8.71095669573915	8.78550881436759e-13	1.56294201807599e-09	18.7054164470611	"TRIB1"
"16933766"	1.02269033799701	6.03789022397143	8.66823644501462	1.05295621177218e-12	1.73940845068966e-09	18.533051935115	"OSM"
"17075360"	-0.840831154925717	6.10016954882547	-8.43923925721592	2.78171485496158e-12	4.08694100989387e-09	17.6079817339233	NA
"16706423"	-1.63369961211896	7.87088986490544	-8.42686799121257	2.93169352550798e-12	4.08694100989387e-09	17.5579598151227	NA
"16740332"	1.71165911362398	6.64136613555251	8.42111302589312	3.00419410940441e-12	4.08694100989387e-09	17.534688848113	NA
"16997676"	-1.36554904671139	7.90301113033021	-8.40758523484758	3.18176195885812e-12	4.08803382347287e-09	17.4799840897219	"MTRNR2L2"
"16903897"	1.1137401728251	6.6471601699981	8.36593311746622	3.79720668361746e-12	4.62199994589584e-09	17.3115199230162	"NR4A2"
"16967690"	-0.761006522954688	6.97288611199324	-8.33689965837231	4.29537095065688e-12	4.96695219879208e-09	17.1940692901965	NA
"16706422"	-1.70553833343617	7.79807479384053	-8.32492382768902	4.51944162634194e-12	4.97719649963857e-09	17.1456176465879	NA
"16735818"	-0.661342108714143	10.558203269853	-8.27425809978055	5.60430479599625e-12	5.89139804622751e-09	16.9406045746613	NA
"16711125"	0.719459910294413	8.2429183494863	8.21939090897147	7.07483025426495e-12	7.1138956213211e-09	16.7185423446949	"IDI1"
"16996785"	-0.875955236864809	7.03572648144096	-8.19691869373909	7.78331156499861e-12	7.50019360682179e-09	16.6275790628769	NA
"16923682"	-0.904196143688597	6.42608894749152	-8.13588552896377	1.00864392587835e-11	9.33076322951547e-09	16.3805000724044	"LINC01424"
"17094863"	-1.37660638568736	4.78582959515274	-8.07158078874592	1.32539047037687e-11	1.17893482340022e-08	16.1201450620507	NA
"17103543"	-1.07180214207566	6.01262437206434	-8.00204568764308	1.78068337957488e-11	1.52525424146031e-08	15.8385968773715	NA
"16819792"	-0.855390433039071	9.27108322494176	-7.96537244306486	2.0807289398028e-11	1.71860779252926e-08	15.6901071356252	NA
