"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"16742840"	-0.984868723347185	8.21322524258974	-9.46433368894803	3.65008367256982e-14	8.44154850955221e-10	21.443546345511	"LOC100506282"
"16740326"	0.768304739027365	7.60414189780608	8.96116032254035	3.04586652818454e-13	3.52208775986619e-09	19.4743755035584	"FAU"
"16706422"	-1.72870079421331	7.79807479384053	-8.43798239567971	2.79659474118418e-12	2.07614119200381e-08	17.4100756433571	NA
"16676983"	1.55374405852183	7.49352407439221	8.37909401968085	3.59085258270214e-12	2.07614119200381e-08	17.1769606673127	"G0S2"
"16951079"	-0.900220928916815	5.45904262778193	-8.2894265868492	5.25469187357113e-12	2.43050517920159e-08	16.8217935501419	"LOC102725086"
"16664005"	0.623607555057621	8.15732616064858	8.10661999438871	1.14213362081798e-11	3.95594010193692e-08	16.0970899014272	"PLK3"
"16740332"	1.64218452253454	6.64136613555251	8.07930817740711	1.28260077116123e-11	3.95594010193692e-08	15.9887641044713	NA
"16889406"	-1.53126228873644	5.92993141747512	-8.0602577336887	1.39068183297563e-11	3.95594010193692e-08	15.9131991066773	NA
"16785083"	1.22176538330863	6.48779977430293	8.03632211316841	1.53947597688556e-11	3.95594010193692e-08	15.8182505484877	NA
"16997676"	-1.29585563134198	7.90301113033021	-7.97848799265251	1.96802200486357e-11	4.55144449064798e-08	15.5888094899012	"MTRNR2L2"
"16999773"	1.01861312323624	5.92074323432491	7.88436528846121	2.93476923386621e-11	6.17021891560217e-08	15.2153629334505	NA
"17075392"	1.0443206109341	4.57329518234371	7.6875234206929	6.76506993610916e-11	1.30379810343664e-07	14.4344357171013	"LOC286058"
"17072601"	0.866976922028091	8.66151699972483	7.60532261796666	9.58508344036303e-11	1.70518634404058e-07	14.1084562301979	"TRIB1"
"16740338"	1.32120985338365	6.16493653357286	7.56976030107989	1.11437297829342e-10	1.75027770918206e-07	13.9674697883727	NA
"16706423"	-1.46668575152885	7.87088986490544	-7.56538541176203	1.13521708988329e-10	1.75027770918206e-07	13.9501275809665	NA
"16740330"	0.926277201122391	8.00567842078235	7.36142249415475	2.69088100653896e-10	3.88950031488916e-07	13.1422357505916	NA
"16952414"	1.04489534237883	7.62072197058234	7.25321274633979	4.24975078411864e-10	5.78141096378304e-07	12.7142627099478	"CSRNP1"
"16740337"	1.65166767479093	6.19380914825343	7.20348579889184	5.24158600404825e-10	6.43113271415992e-07	12.5177807249597	NA
"17056957"	-0.838889287991744	4.82532100255903	-7.20159689130742	5.28350073805675e-10	6.43113271415992e-07	12.5103198219835	NA
"16989256"	0.545149683884958	6.05530206287283	7.14303177719081	6.76263091337344e-10	7.53566279837578e-07	12.2790958911458	NA
"16903897"	0.950566174066719	6.6471601699981	7.14024081199839	6.84260469433525e-10	7.53566279837578e-07	12.2680817138724	"NR4A2"
"17087395"	-0.883733755129995	5.09217624248593	-7.12060070797097	7.43265302624324e-10	7.81340756990579e-07	12.1905879615872	NA
"16933766"	0.83384027245704	6.03789022397143	7.06755932904314	9.29169953439222e-10	9.34300587529951e-07	11.9814242731656	"OSM"
"16988537"	-0.894489571033841	9.01572422383745	-6.94798603559039	1.53565437055053e-09	1.47979494282175e-06	11.5106078801155	NA
"17084415"	1.0076535959185	5.87562071979049	6.81339002669375	2.69921192906279e-09	2.4969869713374e-06	10.9819821823941	NA
