"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"Symbol"
"17075395"	1.23487807215103	8.04673537876085	6.8788732170174	1.13372270125426e-07	0.00262196049119072	7.39735834715491	"EGR3"
"16684326"	0.87524650662456	7.22242016689047	6.40950974773762	4.15800271618345e-07	0.00325607546028907	6.24951081883766	"MIR4420"
"16991490"	-0.779177922650243	4.1423534537884	-6.40388784123264	4.22373259863675e-07	0.00325607546028907	6.2356033243129	NA
"16863287"	1.47451500800575	8.3823760546268	5.96109020405343	1.46365202917452e-06	0.00632440020377461	5.12998073505897	"FOSB"
"16835631"	0.82413391425038	8.68249257486588	5.87751739474697	1.85324624192838e-06	0.00632440020377461	4.91928172808048	NA
"16875968"	0.878896771950322	6.6659943875449	5.8411216846782	2.05409776096345e-06	0.00632440020377461	4.82734944527778	NA
"16930938"	1.08117276101951	7.40764147617118	5.79537678502952	2.33792108524076e-06	0.00632440020377461	4.71166031964558	"RNU12"
"17110367"	0.768877392136336	5.60068663894292	5.76908054521062	2.51861102965057e-06	0.00632440020377461	4.64508816884639	"MIR222"
"16664005"	0.860530341320928	9.52271239174831	5.6940844783786	3.11489359231178e-06	0.00632440020377461	4.45496509925188	"PLK3"
"17006743"	0.801471604476921	8.68892749389353	5.6715087144879	3.32079993857665e-06	0.00632440020377461	4.39766098088532	"SNORA38"
"16763467"	-0.74846281904806	8.65927381542345	-5.60460799775191	4.01488482634268e-06	0.00632440020377461	4.22766421670545	"PLEKHA8P1"
"17027880"	0.933449935560302	8.42168416250195	5.59704887019285	4.10195888168025e-06	0.00632440020377461	4.2084398514991	"SNORA38"
"17033410"	0.933449935560302	8.42168416250195	5.59704887019285	4.10195888168025e-06	0.00632440020377461	4.2084398514991	"SNORA38"
"17038203"	0.933449935560302	8.42168416250195	5.59704887019285	4.10195888168025e-06	0.00632440020377461	4.2084398514991	"SNORA38"
"17040798"	0.933449935560302	8.42168416250195	5.59704887019285	4.10195888168025e-06	0.00632440020377461	4.2084398514991	"SNORA38"
"17103907"	0.795028862673937	3.42443451787021	5.48007537607292	5.71852194740467e-06	0.00826576606735174	3.91056927994952	NA
"17113129"	0.912753756249636	6.12832450846267	5.4265138411793	6.65896606748882e-06	0.00883529690932728	3.77395981758239	"NUP62CL"
"17045069"	1.19099511988422	5.2850748856455	5.41520249236863	6.87660934699231e-06	0.00883529690932728	3.74509475912129	NA
