	Intercept.T1	Intercept.T2	Intercept.T3	Intercept.T4	T1.T2	T1.T3	T1.T4	T2.T3	T2.T4	T3.T4	AveExpr	F	P.Value	adj.P.Val	Symbol
16742840	-0.066762174	0.011509493	0.39075336	1.044050772	0.078271667	0.457515534	1.110812946	0.379243867	1.032541279	0.653297412	8.213225243	39.97044497	2.06E-17	5.14E-13	LOC100506282
16951079	-0.048087153	0.020207482	0.299717481	0.955914016	0.068294636	0.347804635	1.004001169	0.279509999	0.935706533	0.656196534	5.459042628	29.69741969	1.86E-14	1.15E-10	LOC102725086
16988537	-0.078535687	0.194460768	0.628574489	1.114485046	0.272996455	0.707110176	1.193020733	0.434113721	0.920024278	0.485910557	9.015724224	29.651383	1.93E-14	1.15E-10	NA
16889406	-0.33990655	-0.039897657	0.44407875	1.515427211	0.300008893	0.783985299	1.855333761	0.483976407	1.555324868	1.071348461	5.929931417	29.40723256	2.31E-14	1.15E-10	NA
16808993	-0.191798912	0.323576377	0.488006038	1.024305291	0.51537529	0.67980495	1.216104203	0.164429661	0.700728914	0.536299253	7.071452114	28.47959159	4.59E-14	1.91E-10	NA
16706422	8.75E-05	-0.102221892	0.372306687	1.699147555	-0.102309436	0.372219143	1.699060011	0.47452858	1.801369448	1.326840868	7.798074794	27.55050905	9.27E-14	3.30E-10	NA
16676983	0.283470303	0.196674448	-0.163699426	-1.391803496	-0.086795855	-0.44716973	-1.675273799	-0.360373874	-1.588477944	-1.22810407	7.493524074	26.95163801	1.47E-13	4.29E-10	G0S2
16785083	-0.116225774	-0.025086287	-0.023549823	-1.265081135	0.091139487	0.092675951	-1.148855361	0.001536463	-1.239994848	-1.241531311	6.487799774	26.01265274	3.06E-13	6.47E-10	NA
16706423	-0.007285073	0.128599811	0.24683382	1.627754062	0.135884884	0.254118892	1.635039135	0.118234009	1.499154251	1.380920242	7.870889865	25.65059654	4.08E-13	7.83E-10	NA
16952414	0.085339568	-0.09628792	-0.345379848	-1.163456857	-0.181627487	-0.430719416	-1.248796425	-0.249091928	-1.067168938	-0.818077009	7.620721971	24.23076879	1.29E-12	2.01E-09	CSRNP1
17075392	-0.040094874	-0.011306649	0.066625995	-1.043989601	0.028788225	0.106720868	-1.003894727	0.077932643	-1.032682952	-1.110615596	4.573295182	23.8798759	1.72E-12	2.51E-09	LOC286058
16999773	0.235632267	0.104256621	-0.081706476	-0.901409193	-0.131375646	-0.317338743	-1.13704146	-0.185963097	-1.005665814	-0.819702716	5.920743234	23.81990481	1.81E-12	2.51E-09	NA
16740332	0.088217022	0.127962957	-0.139868185	-1.541051299	0.039745935	-0.228085207	-1.62926832	-0.267831142	-1.669014256	-1.401183114	6.641366136	23.47139641	2.42E-12	2.88E-09	NA
16887358	0.079455721	0.618974281	0.676796342	1.83506489	0.53951856	0.597340621	1.755609169	0.057822061	1.216090609	1.158268548	4.137622258	22.77968097	4.35E-12	4.71E-09	NA
16903897	0.154861731	0.049023112	-0.092689927	-0.953581522	-0.105838619	-0.247551658	-1.108443253	-0.141713039	-1.002604634	-0.860891595	6.64716017	22.52452091	5.41E-12	5.62E-09	NR4A2
16740338	0.366261579	0.208924883	0.047826477	-1.140554388	-0.157336696	-0.318435102	-1.506815966	-0.161098406	-1.34947927	-1.188380864	6.164936534	22.33104265	6.38E-12	6.37E-09	NA
16997676	-0.31337148	-0.281890277	0.160588104	1.033177995	0.031481203	0.473959585	1.346549475	0.442478381	1.315068272	0.87258989	7.90301113	22.27259183	6.71E-12	6.44E-09	MTRNR2L2
16933766	0.168306767	0.029689567	-0.167650278	-0.835781141	-0.138617199	-0.335957045	-1.004087908	-0.197339846	-0.865470708	-0.668130863	6.037890224	22.07943676	7.93E-12	7.06E-09	OSM
16740335	0.444625435	0.013279329	-0.136325488	-1.221528232	-0.431346105	-0.580950923	-1.666153666	-0.149604817	-1.234807561	-1.085202744	7.081354023	21.55158512	1.26E-11	1.08E-08	NA
17103543	-0.17734937	0.03319786	0.326614098	0.91419759	0.21054723	0.503963468	1.09154696	0.293416238	0.88099973	0.587583492	6.012624372	20.54690405	3.07E-11	2.41E-08	NA
16851247	-0.066214925	0.172171023	0.483574725	1.061702231	0.238385948	0.54978965	1.127917156	0.311403702	0.889531208	0.578127506	5.091640363	19.73638914	6.41E-11	4.55E-08	NA
17094863	-0.119963249	0.402938613	0.873265247	1.200297802	0.522901863	0.993228496	1.320261051	0.470326634	0.797359188	0.327032554	4.785829595	19.53147872	7.74E-11	4.83E-08	NA
16811670	-0.062248337	-0.25627284	-0.445296832	-1.278927002	-0.194024504	-0.383048495	-1.216678666	-0.189023992	-1.022654162	-0.83363017	4.206623511	18.99498137	1.28E-10	7.06E-08	NA
17084415	0.185226945	0.145575753	0.143636984	-0.872844899	-0.039651191	-0.04158996	-1.058071844	-0.001938769	-1.018420653	-1.016481884	5.87562072	18.04399578	3.14E-10	1.45E-07	NA
17115971	-0.07691325	0.47879949	0.950549296	1.110782036	0.555712741	1.027462546	1.187695287	0.471749805	0.631982546	0.160232741	7.796252363	17.85168458	3.78E-10	1.62E-07	NA
16705959	-0.086762899	0.022878742	0.442353434	0.945235451	0.109641641	0.529116333	1.03199835	0.419474692	0.922356709	0.502882017	9.091358552	17.03641329	8.37E-10	3.07E-07	NA
16872223	0.154055142	-0.140943516	-0.707689806	-0.942272075	-0.294998658	-0.861744947	-1.096327217	-0.56674629	-0.801328559	-0.23458227	9.635822987	16.83858464	1.02E-09	3.62E-07	NA
16706421	-0.210638135	-0.213395884	0.255888515	2.01416259	-0.002757749	0.46652665	2.224800725	0.469284399	2.227558474	1.758274075	6.130506346	16.66831914	1.21E-09	4.08E-07	NA
16794955	0.281465951	-0.066947741	-0.65483283	-1.196607035	-0.348413692	-0.936298781	-1.478072986	-0.587885089	-1.129659294	-0.541774205	7.829394703	16.54558289	1.36E-09	4.41E-07	NA
17117453	0.163397175	0.034873034	-0.575854604	-0.957482234	-0.12852414	-0.739251779	-1.120879408	-0.610727638	-0.992355268	-0.38162763	9.114884258	16.52658463	1.39E-09	4.44E-07	NA
16708238	-0.240466331	-0.073450963	0.106628351	1.123908316	0.167015368	0.347094682	1.364374647	0.180079314	1.19735928	1.017279965	6.349479198	16.23525566	1.86E-09	5.59E-07	NA
16740337	0.284903474	0.424346994	-0.100900508	-1.239122015	0.13944352	-0.385803982	-1.524025489	-0.525247502	-1.663469009	-1.138221507	6.193809148	16.16746244	1.99E-09	5.84E-07	NA
16691755	0.024056553	1.703028523	1.397008432	1.032127967	1.67897197	1.372951879	1.008071414	-0.306020091	-0.670900556	-0.364880465	6.073302524	16.0841839	2.17E-09	6.08E-07	NA
16782094	0.077368123	0.585154758	0.771622012	1.064706904	0.507786636	0.69425389	0.987338781	0.186467254	0.479552146	0.293084892	7.544350328	15.93403224	2.52E-09	6.77E-07	NA
16882821	-0.097388441	0.921185308	0.879815576	0.955437528	1.018573749	0.977204017	1.052825969	-0.041369732	0.03425222	0.075621952	5.347338196	15.82656424	2.82E-09	7.24E-07	NA
16711138	0.187271005	0.255590814	-0.197089157	-1.456513519	0.068319809	-0.384360162	-1.643784524	-0.452679971	-1.712104333	-1.259424362	4.933293412	15.15525779	5.62E-09	1.36E-06	NA
16761514	-0.025535208	0.551770506	1.033719881	1.200386455	0.577305714	1.059255089	1.225921663	0.481949375	0.648615949	0.166666574	4.972177071	14.09610498	1.72E-08	3.30E-06	TAS2R19
16853375	0.057481938	1.238875466	0.98886843	1.042464151	1.181393528	0.931386492	0.984982213	-0.250007036	-0.196411315	0.053595721	6.299853612	13.69034373	2.66E-08	4.68E-06	NA
17020497	0.05577469	2.080741467	1.764534669	1.301826162	2.024966777	1.708759979	1.246051472	-0.316206798	-0.778915306	-0.462708508	6.130025934	12.76936709	7.33E-08	1.10E-05	NA
16761507	0.120071191	0.475452962	0.759602906	1.056637732	0.355381771	0.639531715	0.936566541	0.284149945	0.58118477	0.297034826	4.072201016	12.71855396	7.76E-08	1.12E-05	TAS2R50
16932753	-0.189095022	0.109349912	0.354686585	0.942001553	0.298444934	0.543781607	1.131096575	0.245336673	0.832651641	0.587314968	5.655925983	12.07073992	1.61E-07	2.01E-05	NA
16963396	-0.149319039	0.039717559	0.338302321	0.859450307	0.189036597	0.48762136	1.008769345	0.298584763	0.819732748	0.521147985	6.715034687	12.04904369	1.65E-07	2.03E-05	NA
16822892	0.057782625	-0.392249253	-0.805364759	-1.217960418	-0.450031878	-0.863147384	-1.275743043	-0.413115506	-0.825711165	-0.412595659	8.011144567	11.76608855	2.28E-07	2.60E-05	NA
17016490	0.119164616	-0.352781198	-0.703922188	-0.944293599	-0.471945814	-0.823086805	-1.063458215	-0.351140991	-0.591512401	-0.24037141	3.739930467	11.24138765	4.19E-07	4.14E-05	HIST1H2AJ
16855340	-0.12492	-0.661198612	-1.197299899	-1.375801267	-0.536278612	-1.072379899	-1.250881267	-0.536101287	-0.714602655	-0.178501368	8.762502135	11.16372614	4.59E-07	4.40E-05	SNORA37
16740563	0.061243286	-0.218020081	-0.478610559	-1.288255692	-0.279263367	-0.539853845	-1.349498978	-0.260590478	-1.070235611	-0.809645133	6.406880302	11.01882769	5.44E-07	4.97E-05	NA
16717520	-0.212868241	-0.449863252	-1.064469627	-1.279706635	-0.236995011	-0.851601386	-1.066838394	-0.614606375	-0.829843383	-0.215237008	9.435814849	10.77045044	7.30E-07	6.14E-05	SNORA12
16949611	0.211733359	0.000455629	-0.037691061	-0.828551085	-0.21127773	-0.24942442	-1.040284444	-0.038146691	-0.829006714	-0.790860024	7.851732979	10.57564479	9.20E-07	7.33E-05	IL1RAP
16735807	-0.163827629	0.2679743	0.43772599	1.220752402	0.431801929	0.601553619	1.384580031	0.16975169	0.952778102	0.783026412	6.76607709	10.47735748	1.03E-06	8.16E-05	NA
16659138	0.041299384	-0.27779509	-1.128720677	-1.078133151	-0.319094473	-1.170020061	-1.119432535	-0.850925588	-0.800338061	0.050587527	8.757485434	10.02568484	1.78E-06	0.000124867	RNU5E-1
16688212	-0.30405458	0.006505267	0.16283128	0.750462956	0.310559847	0.46688586	1.054517536	0.156326013	0.743957689	0.587631676	6.122080776	9.974979427	1.90E-06	0.000131323	MIR101-1
16661495	-0.03924117	-0.225499217	-0.833847486	-1.259560908	-0.186258047	-0.794606316	-1.220319738	-0.608348269	-1.034061691	-0.425713422	5.227337477	9.934815733	1.99E-06	0.000136758	SCARNA1
17118856	0.010912545	-0.408780648	-0.827447406	-1.133073781	-0.419693192	-0.838359951	-1.143986325	-0.418666759	-0.724293133	-0.305626375	10.81492267	9.770535032	2.43E-06	0.000159221	NA
17119726	-0.12497889	-0.360525215	-1.086844651	-0.570800188	-0.235546325	-0.961865761	-0.445821297	-0.726319436	-0.210274973	0.516044464	8.345974469	9.428345262	3.71E-06	0.000222154	NA
16827570	-0.354955509	-0.013294806	0.494329801	0.962649271	0.341660703	0.84928531	1.31760478	0.507624607	0.975944077	0.46831947	5.483649628	9.309871665	4.29E-06	0.00024891	NA
17126178	-0.083436956	0.638711275	0.778107845	1.147779037	0.722148231	0.861544801	1.231215993	0.13939657	0.509067762	0.369671192	5.475542884	9.161201891	5.17E-06	0.000288965	NA
16697370	0.256295961	0.123844501	-0.058241598	-1.048276467	-0.13245146	-0.31453756	-1.304572429	-0.182086099	-1.172120968	-0.990034869	10.46763207	9.158828908	5.18E-06	0.000288965	PTGS2
16721807	-0.112035211	-0.625539631	-0.831224378	-1.263113017	-0.51350442	-0.719189167	-1.151077805	-0.205684747	-0.637573385	-0.431888638	11.20855504	9.110252026	5.51E-06	0.000301539	SNORA23
17112193	-0.227614067	-0.129634487	0.084542267	0.794902992	0.09797958	0.312156334	1.022517059	0.214176754	0.924537479	0.710360725	4.029222792	8.922827965	6.96E-06	0.000362998	MIR374A
17122936	-0.059724745	-0.20992659	-0.773704207	-1.101913852	-0.150201846	-0.713979462	-1.042189107	-0.563777617	-0.891987262	-0.328209645	11.2839918	8.757948753	8.57E-06	0.000424805	NA
16967863	0.245713636	-0.064366307	-0.077456086	-1.229643722	-0.310079943	-0.323169722	-1.475357358	-0.013089779	-1.165277414	-1.152187636	5.479224564	8.067019456	2.07E-05	0.00084694	AREG
16967853	0.208890076	-0.051867496	-0.061521581	-1.054382085	-0.260757571	-0.270411657	-1.263272161	-0.009654086	-1.002514589	-0.992860504	5.122393165	7.896209131	2.59E-05	0.001008757	AREG
16660682	-0.204972704	0.025652445	0.394576732	0.925529452	0.230625149	0.599549436	1.130502156	0.368924287	0.899877007	0.53095272	5.561206657	7.894564806	2.59E-05	0.001009334	NA
17122932	-0.145279898	-0.20582501	-0.730668782	-1.1076106	-0.060545113	-0.585388884	-0.962330702	-0.524843772	-0.901785589	-0.376941818	9.713314946	7.763650172	3.07E-05	0.001139892	NA
16967771	0.431523992	0.465399267	-0.103629984	-0.754591729	0.033875276	-0.535153975	-1.186115721	-0.569029251	-1.219990996	-0.650961745	10.34700536	7.509888201	4.28E-05	0.001487394	CXCL8
17074305	0.22213395	0.345481733	0.418440589	-0.623154382	0.123347783	0.196306639	-0.845288332	0.072958856	-0.968636116	-1.041594971	7.503056535	7.428389577	4.77E-05	0.001600797	DEFA4
16842458	-0.168843239	0.172058717	-0.233126308	-0.850858619	0.340901956	-0.064283069	-0.68201538	-0.405185024	-1.022917336	-0.617732311	4.890133297	6.99772535	8.45E-05	0.002523252	NA
17121972	0.367314629	0.133190655	0.24833633	-0.846879681	-0.234123974	-0.118978299	-1.214194309	0.115145675	-0.980070335	-1.09521601	4.842388671	6.962868092	8.85E-05	0.002614692	NA
16889758	-0.087729809	0.143961271	0.942308352	0.738025213	0.231691079	1.030038161	0.825755021	0.798347082	0.594063942	-0.20428314	5.544103911	6.838212984	0.00010464	0.002935199	NA
