"transcriptclusterid"	"probesetid"	"seqname"	"strand"	"start"	"stop"	"totalprobes"	"geneassignment"	"mrnaassignment"	"swissprot"	"unigene"	"gobiologicalprocess"	"gocellularcomponent"	"gomolecularfunction"	"pathway"	"proteindomains"	"crosshybtype"	"category"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"17119726"	17119726	17119726	"chrU"	"+"	1	75	25	"NR_002447 // SNORD24 // small nucleolar RNA, C/D box 24 // 9q34 // 26820 /// ENST00000383884 // SNORD24 // small nucleolar RNA, C/D box 24 // 9q34 // 26820 /// ENST00000489392 // RPL7A // ribosomal protein L7a // 9q34 // 6130 /// ENST00000489392 // SNORD36B // small nucleolar RNA, C/D box 36B // 9q34 // 26814 /// ENST00000489392 // SNORD36A // small nucleolar RNA, C/D box 36A // 9q34 // 26815 /// ENST00000489392 // SNORD24 // small nucleolar RNA, C/D box 24 // 9q34 // 26820 /// BX641050 // RPL7A // ribosomal protein L7a // 9q34 // 6130 /// OTTHUMT00000054867 // RPL7A // ribosomal protein L7a // --- // --- /// uc010nah.3 // SNORD24 // small nucleolar RNA, C/D box 24 // 9q34 // 26820"	"NR_002447 // RefSeq // Homo sapiens small nucleolar RNA, C/D box 24 (SNORD24), small nucleolar RNA. // chrU // 100 // 100 // 25 // 25 // 1 /// ENST00000383884 // ENSEMBL // ncrna:known chromosome:GRCh38:9:133349396:133349470:1 gene:ENSG00000206611 gene_biotype:snoRNA transcript_biotype:snoRNA // chrU // 100 // 100 // 25 // 25 // 1 /// ENST00000489392 // ENSEMBL // havana:known chromosome:GRCh38:9:133348937:133351385:1 gene:ENSG00000148303 gene_biotype:protein_coding transcript_biotype:processed_transcript // chrU // 100 // 100 // 25 // 25 // 1 /// BX641050 // GenBank // Homo sapiens mRNA; cDNA DKFZp686J0697 (from clone DKFZp686J0697). // chrU // 100 // 100 // 25 // 25 // 1 /// OTTHUMT00000054867 // Havana transcript // cdna:all chromosome:VEGA56:9:133348937:133351385:1 Gene:OTTHUMG00000020864 // chrU // 100 // 100 // 25 // 25 // 1 /// uc010nah.3 // UCSC Genes // Homo sapiens small nucleolar RNA, C/D box 24 (SNORD24), small nucleolar RNA. // chrU // 100 // 100 // 25 // 25 // 1 /// NONHSAT135306 // NONCODE // Non-coding transcript identified by NONCODE // chrU // 60 // 60 // 15 // 25 // 1 /// NONHSAT135307 // NONCODE // Non-coding transcript identified by NONCODE // chrU // 60 // 60 // 15 // 25 // 1"	"ENST00000489392 // P62424 /// ENST00000489392 // Q5T8U2 /// ENST00000489392 // Q5T8U3 /// ENST00000489392 // Q9BY74 /// BX641050 // P62424 /// BX641050 // Q9BY74"	"ENST00000489392 // Hs.499839 // adipose tissue| adrenal gland| ascites| bladder| blood| bone| bone marrow| brain| cervix| connective tissue| ear| embryonic tissue| esophagus| eye| heart| intestine| kidney| larynx| liver| lung| lymph| lymph node| mammary gland| mouth| muscle| nerve| ovary| pancreas| parathyroid| pharynx| pituitary gland| placenta| prostate| salivary gland| skin| spleen| stomach| testis| thymus| thyroid| tonsil| umbilical cord| uterus| vascular|adrenal tumor| bladder carcinoma| breast (mammary gland) tumor| cervical tumor| chondrosarcoma| colorectal tumor| esophageal tumor| gastrointestinal tumor| germ cell tumor| glioma| head and neck tumor| kidney tumor| leukemia| liver tumor| lung tumor| lymphoma| non-neoplasia| normal| ovarian tumor| pancreatic tumor| primitive neuroectodermal tumor of the CNS| prostate cancer| retinoblastoma| skin tumor| soft tissue/muscle tissue tumor| uterine tumor|embryoid body| blastocyst| fetus| neonate| infant| juvenile| adult /// ENST00000489392 // Hs.518936 // blood| normal| fetus /// ENST00000489392 // Hs.717500 // --- /// BX641050 // Hs.499839 // adipose tissue| adrenal gland| ascites| bladder| blood| bone| bone marrow| brain| cervix| connective tissue| ear| embryonic tissue| esophagus| eye| heart| intestine| kidney| larynx| liver| lung| lymph| lymph node| mammary gland| mouth| muscle| nerve| ovary| pancreas| parathyroid| pharynx| pituitary gland| placenta| prostate| salivary gland| skin| spleen| stomach| testis| thymus| thyroid| tonsil| umbilical cord| uterus| vascular|adrenal tumor| bladder carcinoma| breast (mammary gland) tumor| cervical tumor| chondrosarcoma| colorectal tumor| esophageal tumor| gastrointestinal tumor| germ cell tumor| glioma| head and neck tumor| kidney tumor| leukemia| liver tumor| lung tumor| lymphoma| non-neoplasia| normal| ovarian tumor| pancreatic tumor| primitive neuroectodermal tumor of the CNS| prostate cancer| retinoblastoma| skin tumor| soft tissue/muscle tissue tumor| uterine tumor|embryoid body| blastocyst| fetus| neonate| infant| juvenile| adult"	"ENST00000489392 // GO:0000184 // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // traceable author statement  /// ENST00000489392 // GO:0006412 // translation // non-traceable author statement  /// ENST00000489392 // GO:0006412 // translation // traceable author statement  /// ENST00000489392 // GO:0006413 // translational initiation // traceable author statement  /// ENST00000489392 // GO:0006414 // translational elongation // traceable author statement  /// ENST00000489392 // GO:0006415 // translational termination // traceable author statement  /// ENST00000489392 // GO:0006614 // SRP-dependent cotranslational protein targeting to membrane // traceable author statement  /// ENST00000489392 // GO:0010467 // gene expression // traceable author statement  /// ENST00000489392 // GO:0016032 // viral process // traceable author statement  /// ENST00000489392 // GO:0016070 // RNA metabolic process // traceable author statement  /// ENST00000489392 // GO:0016071 // mRNA metabolic process // traceable author statement  /// ENST00000489392 // GO:0019058 // viral life cycle // traceable author statement  /// ENST00000489392 // GO:0019083 // viral transcription // traceable author statement  /// ENST00000489392 // GO:0042254 // ribosome biogenesis // inferred from electronic annotation  /// ENST00000489392 // GO:0044267 // cellular protein metabolic process // traceable author statement  /// BX641050 // GO:0000184 // nuclear-transcribed mRNA catabolic process, nonsense-mediated decay // traceable author statement  /// BX641050 // GO:0006412 // translation // non-traceable author statement  /// BX641050 // GO:0006412 // translation // traceable author statement  /// BX641050 // GO:0006413 // translational initiation // traceable author statement  /// BX641050 // GO:0006414 // translational elongation // traceable author statement  /// BX641050 // GO:0006415 // translational termination // traceable author statement  /// BX641050 // GO:0006614 // SRP-dependent cotranslational protein targeting to membrane // traceable author statement  /// BX641050 // GO:0010467 // gene expression // traceable author statement  /// BX641050 // GO:0016032 // viral process // traceable author statement  /// BX641050 // GO:0016070 // RNA metabolic process // traceable author statement  /// BX641050 // GO:0016071 // mRNA metabolic process // traceable author statement  /// BX641050 // GO:0019058 // viral life cycle // traceable author statement  /// BX641050 // GO:0019083 // viral transcription // traceable author statement  /// BX641050 // GO:0042254 // ribosome biogenesis // inferred from electronic annotation  /// BX641050 // GO:0044267 // cellular protein metabolic process // traceable author statement "	"ENST00000489392 // GO:0005634 // nucleus // inferred from direct assay  /// ENST00000489392 // GO:0005829 // cytosol // traceable author statement  /// ENST00000489392 // GO:0016020 // membrane // inferred from direct assay  /// ENST00000489392 // GO:0022625 // cytosolic large ribosomal subunit // inferred from direct assay  /// ENST00000489392 // GO:0042788 // polysomal ribosome // inferred from direct assay  /// ENST00000489392 // GO:0070062 // extracellular vesicular exosome // inferred from direct assay  /// ENST00000489392 // GO:0005840 // ribosome // inferred from electronic annotation  /// ENST00000489392 // GO:0022625 // cytosolic large ribosomal subunit // traceable author statement  /// ENST00000489392 // GO:0030529 // ribonucleoprotein complex // inferred from electronic annotation  /// BX641050 // GO:0005634 // nucleus // inferred from direct assay  /// BX641050 // GO:0005829 // cytosol // traceable author statement  /// BX641050 // GO:0016020 // membrane // inferred from direct assay  /// BX641050 // GO:0022625 // cytosolic large ribosomal subunit // inferred from direct assay  /// BX641050 // GO:0042788 // polysomal ribosome // inferred from direct assay  /// BX641050 // GO:0070062 // extracellular vesicular exosome // inferred from direct assay  /// BX641050 // GO:0005840 // ribosome // inferred from electronic annotation  /// BX641050 // GO:0022625 // cytosolic large ribosomal subunit // traceable author statement  /// BX641050 // GO:0030529 // ribonucleoprotein complex // inferred from electronic annotation "	"ENST00000489392 // GO:0003723 // RNA binding // traceable author statement  /// ENST00000489392 // GO:0003735 // structural constituent of ribosome // non-traceable author statement  /// ENST00000489392 // GO:0005515 // protein binding // inferred from physical interaction  /// ENST00000489392 // GO:0044822 // poly(A) RNA binding // inferred from direct assay  /// ENST00000489392 // GO:0003735 // structural constituent of ribosome // traceable author statement  /// BX641050 // GO:0003723 // RNA binding // traceable author statement  /// BX641050 // GO:0003735 // structural constituent of ribosome // non-traceable author statement  /// BX641050 // GO:0005515 // protein binding // inferred from physical interaction  /// BX641050 // GO:0044822 // poly(A) RNA binding // inferred from direct assay  /// BX641050 // GO:0003735 // structural constituent of ribosome // traceable author statement "	"ENST00000489392 // GenMAPP // Ribosomal_Proteins /// BX641050 // GenMAPP // Ribosomal_Proteins"	NA	3	"rescue"	-1.08684465140472	8.34597446880097	-5.45537069935822	6.92123910027306e-07	0.000901580875376037	5.74579421352531
"16691755"	16691755	16691755	"chr1"	"-"	121484057	121485434	18	NA	"NONHSAT005623 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 100 // 72 // 13 // 13 // 0 /// TCONS_00001651-XLOC_000992 // Rinn lincRNA // linc-FCGR1B-7 chr1:-:121484056-121485434 // chr1 // 100 // 72 // 13 // 13 // 0 /// NONHSAT005625 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr1 // 61 // 61 // 11 // 18 // 1 /// TCONS_00001652-XLOC_000992 // Rinn lincRNA // linc-FCGR1B-7 chr1:-:121484423-121485429 // chr1 // 61 // 61 // 11 // 18 // 1"	NA	NA	NA	NA	NA	NA	NA	1	"main"	1.39700843226317	6.07330252420938	5.00551378283492	3.97838072360459e-06	0.00152561719871643	4.14418166665646
"16761514"	16761514	16761514	"chr12"	"-"	11174218	11175219	13	"ENST00000390673 // TAS2R19 // taste receptor, type 2, member 19 // 12p13.2 // 259294 /// ENST00000573562 // TAS2R19 // taste receptor, type 2, member 19 // 12p13.2 // 259294 /// BC101804 // TAS2R19 // taste receptor, type 2, member 19 // 12p13.2 // 259294 /// BC111998 // TAS2R19 // taste receptor, type 2, member 19 // 12p13.2 // 259294 /// OTTHUMT00000370080 // TAS2R19 // taste receptor, type 2, member 19 // --- // --- /// OTTHUMT00000427626 // TAS2R19 // taste receptor, type 2, member 19 // --- // ---"	"ENST00000390673 // ENSEMBL // ensembl_havana_transcript:known chromosome:GRCh38:12:11021619:11022620:-1 gene:ENSG00000212124 gene_biotype:protein_coding transcript_biotype:protein_coding // chr12 // 100 // 100 // 13 // 13 // 0 /// ENST00000573562 // ENSEMBL // ensembl_havana_transcript:known chromosome:GRCh38:CHR_HSCHR12_2_CTG2:11021619:11022620:-1 gene:ENSG00000263028 gene_biotype:protein_coding transcript_biotype:protein_coding // chr12 // 100 // 100 // 13 // 13 // 0 /// BC101804 // GenBank // Homo sapiens taste receptor, type 2, member 48, mRNA (cDNA clone MGC:126853 IMAGE:8069310), complete cds. // chr12 // 100 // 100 // 13 // 13 // 0 /// BC111998 // GenBank // Homo sapiens taste receptor, type 2, member 48, mRNA (cDNA clone MGC:138203 IMAGE:8327466), complete cds. // chr12 // 100 // 100 // 13 // 13 // 0 /// OTTHUMT00000370080 // Havana transcript // cdna:all chromosome:VEGA56:12:11021619:11022620:-1 Gene:OTTHUMG00000162687 // chr12 // 100 // 100 // 13 // 13 // 0 /// OTTHUMT00000427626 // Havana transcript // cdna:all chromosome:VEGA56:HSCHR12_2_CTG2:220325:221326:-1 Gene:OTTHUMG00000174880 // chr12 // 100 // 100 // 13 // 13 // 0"	"ENST00000390673 // P59542 /// ENST00000390673 // Q50KF9 /// ENST00000573562 // P59542 /// ENST00000573562 // Q50KF9 /// BC101804 // P59542 /// BC111998 // P59542"	"ENST00000390673 // Hs.688196 // --- /// ENST00000573562 // Hs.688196 // --- /// BC101804 // Hs.688196 // --- /// BC111998 // Hs.688196 // ---"	"ENST00000390673 // GO:0001580 // detection of chemical stimulus involved in sensory perception of bitter taste // inferred from direct assay  /// ENST00000390673 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// ENST00000390673 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// ENST00000390673 // GO:0007165 // signal transduction // inferred from electronic annotation  /// ENST00000390673 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// ENST00000573562 // GO:0001580 // detection of chemical stimulus involved in sensory perception of bitter taste // inferred from direct assay  /// ENST00000573562 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// ENST00000573562 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// ENST00000573562 // GO:0007165 // signal transduction // inferred from electronic annotation  /// ENST00000573562 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// BC101804 // GO:0001580 // detection of chemical stimulus involved in sensory perception of bitter taste // inferred from direct assay  /// BC101804 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// BC101804 // GO:0007165 // signal transduction // inferred from electronic annotation  /// BC101804 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// BC101804 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// BC111998 // GO:0001580 // detection of chemical stimulus involved in sensory perception of bitter taste // inferred from direct assay  /// BC111998 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// BC111998 // GO:0007165 // signal transduction // inferred from electronic annotation  /// BC111998 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// BC111998 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0007165 // signal transduction // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0050896 // response to stimulus // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0007165 // signal transduction // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0007186 // G-protein coupled receptor signaling pathway // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0050909 // sensory perception of taste // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0050896 // response to stimulus // inferred from electronic annotation "	"ENST00000390673 // GO:0005886 // plasma membrane // traceable author statement  /// ENST00000390673 // GO:0016021 // integral component of membrane // inferred from direct assay  /// ENST00000390673 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// ENST00000390673 // GO:0016020 // membrane // inferred from electronic annotation  /// ENST00000573562 // GO:0005886 // plasma membrane // traceable author statement  /// ENST00000573562 // GO:0016021 // integral component of membrane // inferred from direct assay  /// ENST00000573562 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// ENST00000573562 // GO:0016020 // membrane // inferred from electronic annotation  /// BC101804 // GO:0005886 // plasma membrane // traceable author statement  /// BC101804 // GO:0016021 // integral component of membrane // inferred from direct assay  /// BC101804 // GO:0016020 // membrane // inferred from electronic annotation  /// BC101804 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// BC111998 // GO:0005886 // plasma membrane // traceable author statement  /// BC111998 // GO:0016021 // integral component of membrane // inferred from direct assay  /// BC111998 // GO:0016020 // membrane // inferred from electronic annotation  /// BC111998 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0005886 // plasma membrane // traceable author statement  /// OTTHUMT00000370080 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0016020 // membrane // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0005886 // plasma membrane // traceable author statement  /// OTTHUMT00000427626 // GO:0016021 // integral component of membrane // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0016020 // membrane // inferred from electronic annotation "	"ENST00000390673 // GO:0033038 // bitter taste receptor activity // inferred from direct assay  /// ENST00000390673 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// ENST00000390673 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// ENST00000573562 // GO:0033038 // bitter taste receptor activity // inferred from direct assay  /// ENST00000573562 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// ENST00000573562 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// BC101804 // GO:0033038 // bitter taste receptor activity // inferred from direct assay  /// BC101804 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// BC101804 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// BC111998 // GO:0033038 // bitter taste receptor activity // inferred from direct assay  /// BC111998 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// BC111998 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// OTTHUMT00000370080 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0004871 // signal transducer activity // inferred from electronic annotation  /// OTTHUMT00000427626 // GO:0004930 // G-protein coupled receptor activity // inferred from electronic annotation "	NA	"ENST00000390673 // Pfam // IPR007960 // Mammalian taste receptor /// ENST00000573562 // Pfam // IPR007960 // Mammalian taste receptor /// OTTHUMT00000370080 // Pfam // IPR007960 // Mammalian taste receptor /// OTTHUMT00000427626 // Pfam // IPR007960 // Mammalian taste receptor"	1	"main"	1.03371988121296	4.9721770709064	4.7819570515408	9.27486933709422e-06	0.00267949107517259	3.37051524302069
"17020497"	17020497	17020497	"chr6"	"-"	58778112	58778756	20	NA	"NONHSAT113325 // NONCODE // Non-coding transcript identified by NONCODE: Linc // chr6 // 100 // 100 // 20 // 20 // 1 /// TCONS_00012197-XLOC_005754 // Rinn lincRNA // linc-RAB23-2 chr6:-:58778111-58778756 // chr6 // 100 // 100 // 20 // 20 // 1"	NA	NA	NA	NA	NA	NA	NA	1	"main"	1.76453466933648	6.13002593408057	4.58119373924651	1.9548404398092e-05	0.00431206661970655	2.6902261129757
"16855340"	16855340	16855340	"chr18"	"-"	51748654	51748782	10	"NR_002970 // SNORA37 // small nucleolar RNA, H/ACA box 37 // 18q21.2 // 677819 /// ENST00000384504 // SNORA37 // small nucleolar RNA, H/ACA box 37 // 18q21.2 // 677819 /// uc002lfi.1 // SNORA37 // small nucleolar RNA, H/ACA box 37 // 18q21.2 // 677819"	"NR_002970 // RefSeq // Homo sapiens small nucleolar RNA, H/ACA box 37 (SNORA37), small nucleolar RNA. // chr18 // 100 // 100 // 10 // 10 // 1 /// ENST00000384504 // ENSEMBL // ncrna:known chromosome:GRCh38:18:54222284:54222412:-1 gene:ENSG00000207233 gene_biotype:snoRNA transcript_biotype:snoRNA // chr18 // 100 // 100 // 10 // 10 // 1 /// uc002lfi.1 // UCSC Genes // Homo sapiens small nucleolar RNA, H/ACA box 37 (SNORA37), small nucleolar RNA. // chr18 // 100 // 100 // 10 // 10 // 1 /// NONHSAT059339 // NONCODE // Non-coding transcript identified by NONCODE // chr18 // 100 // 100 // 10 // 10 // 1"	NA	"NR_002970 // Hs.655869 // mammary gland| normal| soft tissue/muscle tissue tumor| adult /// ENST00000384504 // Hs.655869 // mammary gland| normal| soft tissue/muscle tissue tumor| adult /// uc002lfi.1 // Hs.655869 // mammary gland| normal| soft tissue/muscle tissue tumor| adult"	NA	NA	NA	NA	NA	1	"main"	-1.19729989921238	8.76250213461537	-4.54880786396619	2.20165662098658e-05	0.00465071974022978	2.58186230753114
"16798228"	16798228	16798228	"chr15"	"+"	25344645	25344742	17	"NR_003340 // SNORD116-26 // small nucleolar RNA, C/D box 116-26 // 15q11.2 // 100033438 /// ENST00000516006 // SNORD116-26 // small nucleolar RNA, C/D box 116-26 // 15q11.2 // 100033438"	"NR_003340 // RefSeq // Homo sapiens small nucleolar RNA, C/D box 116-26 (SNORD116-26), small nucleolar RNA. // chr15 // 100 // 100 // 17 // 17 // 1 /// ENST00000516006 // ENSEMBL // ncrna:known chromosome:GRCh38:15:25099499:25099594:1 gene:ENSG00000251815 gene_biotype:snoRNA transcript_biotype:snoRNA // chr15 // 100 // 100 // 17 // 17 // 1 /// JX629744 // GenBank // Homo sapiens chromosome 15 sno-lncRNA5 snoRNA, complete sequence. // chr15 // 100 // 100 // 17 // 17 // 1 /// NONHSAT041049 // NONCODE // Non-coding transcript identified by NONCODE // chr15 // 100 // 100 // 17 // 17 // 1 /// uc001yyl.3 // UCSC Genes // --- // chr15 // 100 // 100 // 17 // 17 // 1"	NA	"ENST00000516006 // Hs.711166 // liver| liver tumor| adult /// JX629744 // Hs.605154 // brain| embryonic tissue| leukemia| normal| blastocyst"	NA	NA	NA	NA	NA	3	"main"	-1.50374511878136	6.96369077266047	-4.46391531609705	3.00116199188208e-05	0.00550757323647124	2.29971010956666
"16717520"	16717520	16717520	"chr10"	"-"	101996913	101997059	15	"NR_002954 // SNORA12 // small nucleolar RNA, H/ACA box 12 // 10q24.31 // 677800 /// ENST00000391162 // SNORA12 // small nucleolar RNA, H/ACA box 12 // 10q24.31 // 677800 /// uc001kqu.1 // SNORA12 // small nucleolar RNA, H/ACA box 12 // 10q24.31 // 677800"	"NR_002954 // RefSeq // Homo sapiens small nucleolar RNA, H/ACA box 12 (SNORA12), small nucleolar RNA. // chr10 // 100 // 100 // 15 // 15 // 0 /// ENST00000391162 // ENSEMBL // ncrna:known chromosome:GRCh38:10:100237156:100237302:-1 gene:ENSG00000212464 gene_biotype:snoRNA transcript_biotype:snoRNA // chr10 // 100 // 100 // 15 // 15 // 0 /// uc001kqu.1 // UCSC Genes // Homo sapiens small nucleolar RNA, H/ACA box 12 (SNORA12), small nucleolar RNA. // chr10 // 100 // 100 // 15 // 15 // 0 /// NONHSAT015953 // NONCODE // Non-coding transcript identified by NONCODE // chr10 // 100 // 100 // 15 // 15 // 0"	NA	"NR_002954 // Hs.662165 // blood| connective tissue| mouth| head and neck tumor| normal| soft tissue/muscle tissue tumor| fetus| adult /// ENST00000391162 // Hs.662165 // blood| connective tissue| mouth| head and neck tumor| normal| soft tissue/muscle tissue tumor| fetus| adult /// uc001kqu.1 // Hs.662165 // blood| connective tissue| mouth| head and neck tumor| normal| soft tissue/muscle tissue tumor| fetus| adult"	NA	NA	NA	NA	NA	1	"main"	-1.06446962713097	9.43581484892264	-4.45561108276998	3.09303994425763e-05	0.00558674736598301	2.27226018260339
"16659138"	16659138	16659138	"chr1"	"+"	11968209	11968329	16	"ENST00000362477 // RNU5E-1 // RNA, U5E small nuclear 1 // 1p36.22 // 26829 /// NR_002754 // RNU5E-1 // RNA, U5E small nuclear 1 // 1p36.22 // 26829 /// M77839 // RNU5E-1 // RNA, U5E small nuclear 1 // 1p36.22 // 26829"	"ENST00000362477 // ENSEMBL // ncrna:known chromosome:GRCh38:1:11908152:11908271:1 gene:ENSG00000199347 gene_biotype:snRNA transcript_biotype:snRNA // chr1 // 100 // 100 // 16 // 16 // 0 /// NR_002754 // RefSeq // Homo sapiens RNA, U5E small nuclear 1 (RNU5E-1), small nuclear RNA. // chr1 // 56 // 100 // 9 // 16 // 0 /// M77839 // GenBank // Human U5E snRNA sequence. // chr1 // 56 // 100 // 9 // 16 // 0 /// NONHSAT000924 // NONCODE // Non-coding transcript identified by NONCODE // chr1 // 56 // 100 // 9 // 16 // 0"	NA	NA	NA	NA	NA	NA	NA	1	"main"	-1.12872067744036	8.75748543404359	-4.34341067605867	4.63628937008559e-05	0.00731418663536414	1.90408085052354
"16798222"	16798222	16798222	"chr15"	"+"	25342809	25342902	12	"NR_003339 // SNORD116-25 // small nucleolar RNA, C/D box 116-25 // 15q11.2 // 100033436 /// ENST00000516517 // SNORD116-25 // small nucleolar RNA, C/D box 116-25 // 15q11.2 // 100033436 /// uc001yyk.3 // SNORD116-25 // small nucleolar RNA, C/D box 116-25 // 15q11.2 // 100033436"	"NR_003339 // RefSeq // Homo sapiens small nucleolar RNA, C/D box 116-25 (SNORD116-25), small nucleolar RNA. // chr15 // 100 // 100 // 12 // 12 // 1 /// ENST00000516517 // ENSEMBL // ncrna:known chromosome:GRCh38:15:25097663:25097754:1 gene:ENSG00000252326 gene_biotype:snoRNA transcript_biotype:snoRNA // chr15 // 100 // 100 // 12 // 12 // 1 /// uc001yyk.3 // UCSC Genes // Homo sapiens small nucleolar RNA, C/D box 116-25 (SNORD116-25), small nucleolar RNA. // chr15 // 100 // 100 // 12 // 12 // 1 /// NONHSAT041048 // NONCODE // Non-coding transcript identified by NONCODE // chr15 // 100 // 100 // 12 // 12 // 1"	NA	NA	NA	NA	NA	NA	NA	3	"main"	-1.24598596475025	4.74826774377829	-4.32028519697638	5.03649285260289e-05	0.00760846186933209	1.82883394833328
"16961947"	16961947	16961947	"chr3"	"-"	181540660	181540778	8	"ENST00000362969 // RNA5SP150 // RNA, 5S ribosomal pseudogene 150 // --- // ---"	"ENST00000362969 // ENSEMBL // ncrna:known chromosome:GRCh38:3:181822872:181822990:-1 gene:ENSG00000199839 gene_biotype:rRNA transcript_biotype:rRNA // chr3 // 100 // 100 // 8 // 8 // 1 /// NONHSAT093515 // NONCODE // Non-coding transcript identified by NONCODE // chr3 // 100 // 100 // 8 // 8 // 1"	NA	NA	NA	NA	NA	NA	NA	3	"main"	-1.02708248201004	9.91800407596675	-3.75635635154549	0.000352847529657188	0.0251121542636723	0.0679127277564495
